英単語,意味,発音記号
offspring,"《単数・複数扱い》(人間や動物の)『子;子孫』 / (…から)生じたもの,(…の)結果,所産《+『of』+『名』》",ɑ’:fspriŋ
network,"〈U〉〈C〉網,網細工 / 〈C〉『網状のもの』 / 〈C〉(ラジオ・テレビの)放送網",nétwə:rk
indispensable,"『欠くことのできない』,絶対に必要な",ìndispénsəbl
plane,"『平面』,水平面 / 『水準』,程度 / 《話》『飛行機』 / (面が)平らな,平たんな / 平面の,平面図形の;平面上にある / 〈飛行機〉滑走する かんな / …‘に’かんなをかける;…‘を’平らにする / かんなをかける =plane tree",pléin
reaction,"{名}(…に対する)『反応』《+『to』+『名』》 / 〈U〉(…に対する)(政治的・社会的な)『反動』,逆コース《+『against』+『名』》 / 〈U〉〈C〉化学反応,化学変化 / 〈U〉〈C〉(物理学で)反作用",riæ’kʃən
partially,"部分的に,一部分 / 不公平に,偏って",pɑ’:rʃəli
proudly,威張って / 誇りをもって / 堂々と,práudli
baggage,〈U〉《米》《集合的に》(旅行用)『手荷物』《英》luggage) / 〈U〉軍用行李(こうり) / 〈U〉《おどけて》おてんば娘《形容詞的に》『baggage check』{名}〈C〉《米》手荷物チッキ『baggage claim』{名}〈C〉(空港の)手荷物受取の所『baggage room』{名}〈C〉《米》(駅の)手荷一時預り所,bæ’giʤ
terrace,"バルコニー / 『テラス』,頂台 / 台地,(特にひな壇式の)段地 / 台地(傾斜地)にある家並み,高台の町 / (東洋・スペインなどの)平屋根 / …‘を’台地にする,ひな壇式にする / …‘に’テラスをつける",térəs
deaf,"『耳が遠い』,耳が不自由な / 《the deaf;名詞的に》耳が不自合な人々 / 《補語にのみ用いて》(…を)『聞こうとしない』(…に)むとんじゃくである《+『to』+『名』》",déf
allusion,"(…の)ほのめかし,あてつけ;(…の)引喩(いんゆ)《+『to』+『名』》",əlú:ʒən
grip,"《単数形で》(…を)『しっかり握る』(『つかむ』)『こと』《+『on』+『名』》 / (特にスポーツ用具などの)握り方;握力 / (…に対する)支配力,制御力《+『on』+『名』》 / 《単数形で》(…に対する)『理解力』《+『on』(『of』)+『名』》 / (道具・機械などの)『握り』,取っ手,柄 / 《おもに米》小型の手さげ旅行かばん / =grippe / …‘を’『しっかりつかむ』(『握る』) / 〈人・物・事が〉〈人・関心・注意など〉‘を’つかむ,引きつける / 〈人が〉〈意味・要点など〉‘を’つかむ,理解する",gríp
juice,"〈U〉〈C〉(果物・野菜・肉などの)『汁』,『液』,ジュース;〈U〉(植物の)樹液 / 《複数形で》(動物の)体液,分泌液 / 〈U〉《俗》電気;ガソリン,燃料オイル / …‘から’汁をしぼり取る",ʤú:s
resigned,"あきらめている,忍従している",rizáind
humility,"謙そん,卑下;〈C〉《複数形で》謙虚な行為",hju:míləti
Benjamin,ベニヤミン(旧約聖所でイスラエルの祖のJacobの末子),bénʤəmin
blast,"〈C〉(風の)『一吹き』,一陣の風;突風,疾風《+『of』+『名』》 / 〈C〉(穴から吹き出す空気の)一吹き / 〈C〉(笛・らっぱなどの)突然の大きな[不快な]音《+『of』+『名』》 / 〈C〉〈U〉爆破(explosion)《+『of』+『名』》 / 〈C〉(1回分の)発破,爆薬 / 〈C〉〈U〉爆風 / …’を’『爆破する』;…’を’爆破して作る(開く) / 《文》…’を’孫なう,台なしにする;〈霜などが〉…’を’枯 / 〈らっぱなど〉’を’急に大きく鳴らす / …’を’酷評する;(…について)〈人〉’を’こっぴどく叱る《+『名』+『about』+『名』(do『ing』)》 / …’を’のろう(damn)",blæ’st
ministry,"〈U〉《the~》牧師の職 / 《the~》《集合的に》聖職者,牧師(clergy) / 〈C〉(英国・欧州諸国・日本などの)『省』;省の建物 / 〈C〉《通例単数形で》大臣(公使)の職(任期) / 〈C〉《しばしばthe M-》『内閣』,閣僚たち",mínəstri
sexual,"性の,男女(雌雄)の / 有性生殖の",sékʃuəl
Nile,ナイル川(アフリカ東部ビクトリア湖に発し地中海に駐ぐ大河),náil
diameter,『直径』 / (レンズなどの)倍率,daiæ’mətər
troop,"(特に,移動中の人・野生の動物の)『群れ』,一団《+of+名》 / 騎兵大隊,装甲車大隊 / 《複数形で》『軍隊』;警官隊;武装団 / ボーイ(ガール)スカウトの分隊(16‐32人で編成する) / 群れをなして動く / 〈軍旗〉‘を’先頭に立てて分列行進をする",trú:p
onward,"(空間的・時間的に)『前へ』(『に』),『先へ』(『に』)(forward) / 『前方への』,前へ進む(forward)",ɑ’nwərd
tightly,"しっかりと,きつく",táitli
sullen,"(ある期間)『不きげんな』,むっつりした / 『陰うつな』,陰気な(gloomy)",sʌ’lən
brutal,"『けものの』;けもののような;『残酷な』,野蛮な",brú:tl
Holmes,ホームズ(Oliver Wendell~;1809‐94;米国の詩人・小説家) / (Sherlock~; 1 シャーロックホームズ 《Conan Doyle 作の推理小説中の主人公で名探偵》,hóumz
penalty,"『刑罰』,処罰 / (ある行為・状態に伴う)不利益 / 『罰金』,違約金,反則金 / (スポーツ・競技で,反則に対する)『罰則』,ペナルティー;(前回の勝者に対する)ハンディキャップ",pén(ə)lti
tops,"《補語にのみ用いて》《米話》最上の,最高の",tɑ’ps
diamond,"『ダイヤモンド』,ダイヤ,金剛石 / ガラス切り / 菱(ひし)形[のもの] / (カードの)ダイヤの札 / (野球の)内野;野球場 / ダイヤモンド製の;ダイヤモンド入りの / ダイヤモンド形の / ダイヤモンド記念の(結婚記念日などが75回目,または60回目)",dái(ə)mənd
corridor,(片側また両側に部屋が並んでいる)『廊下』,kɔ’:ridər
alternate,"『交互の』,かわるがわるの / 一つおきの(every other) / 代わりの,どれか一つの / 《米》代わり[の人](substitute) / 〈両者が〉交替する;(…と)交替する,互い違いになる《+『with』+『名』》 / …’を’交互にさせる",ɔ’ltərnèit
echo,"〈C〉〈U〉『反響』[音];『こだま』,山びこ / 〈C〉〈U〉(意見・心情などに対する)共鳴,反応 / 〈C〉〈U〉(他人の行為・意見などの)繰り返し,まね《+『of』+『名』》;(…からの)影響《+『from』+『名』》;〈C〉まねをする人 / 〈場所が〉…‘を’『反響させる』 / 〈人の言葉・意見〉‘を’『そのまま繰り返す』,そっくりまねる / (…で)〈場所・音・声が〉『反響する』《+『with』+『名』(do『ing』)》",ékou
restraint,"〈U〉『抑制』(『拘束』,『束縛』)『すること』 / 〈U〉束縛された状態,監禁(confinement) / 〈C〉抑制(拘束,束縛)するもの / 〈U〉(行為・感情などの)自制,慎み,遠慮(reserve)",ristréint
identity,"〈U〉『同一であること』 / 〈C〉〈U〉(人・物の)『身元』,正体 / 〈C〉独自性,個性",aidéntəti
headed,"頭[部]のある,見出しのある / (キャベツなどが)結球した / 《複合語を作って》「…の頭を持つ」「頭が…の」の意を表す",hédid
sway,"『前後(左右)に動く,』揺れる / 《方向を表す副詞[句]を伴って》(一方に)『傾く,』かしぐ / …‘を’『揺する,』揺り動かす / (方向を表す副詞[句]を伴って)…‘を’傾ける / …‘に’『影響を与える,』‘を’左右する;《古》…‘を’支配する / (…の)揺れ,動揺《+of+名》 / (…の)影響;支配,統治《+of+名》",swéi
screen,"(わくのついた)『金網』,網戸 / 『ついたて』,びょうぶ / 『隠すもの』,遮蔽(しゃへい)物,保護物 / (映画・スライドの)映写幕,スクリーン / (テレビなどの)映像スクリーン / 《the screen》《集合的に》映画[産業];映画界 / (じゃり・砂などの)ふるい / …‘に’網戸をつける,金網を付ける / 《しばしば受動態で》…‘を’『隠す』,保護する / (…から)…‘を’仕切る《+『off』+『名』(+『名』+『out』)+『from』+『名』》 / 〈じゃり・砂など〉‘を’ふるいにかける / (ふるいにかけるように)…‘を’除去する,濾過(ろか)する《+『out』+『名』,+『名』+『out』》 / 《しばしば受動態で》…‘を’えり分ける,選別(選抜)する / 《通例受動態で》〈映画〉‘を’上映する",skrí:n
professed,"《名詞の前にのみ用いて》公言した,公然の / 自称の;見せかけの",prəfést
dirt,"『不潔な物』,汚物;泥,ほこり,ごみ / 土(soil) / 無価値なもの / わい談,春画,わいせつ本(pornography) / 《話》卑わいな言葉;(特に)卑わいな悪口",də’:rt
era,(あるものの存在・でき事などで特徴づけられた)時代 / 紀元 / (地質の時代を表す)代,í(ə)rə
ambassador,『大使』,æmbæ’sədər
breed,"〈動物が〉『子を生む』,繁殖する / 〈物事が〉生ずる,起こる / (新種の育成,品種改良などのために)〈家畜〉‘を’『詞育する』,〈植物〉‘を’『育てる』 / …‘を’『生む』,『生じさせる』 / 〈子供など〉‘を’育てる,しつける / (動植物の改良された)『品種』,血統 / 種類",brí:d
interference,"〈U〉(…への)干渉,口出し,妨害《+『with』+『名』》 / 〈U〉〈C〉(ラジオ・テレビの)混信;(光波・音波などの)干渉 / 〈U〉(一般のスポーツで)妨害行為",ìntərfí(ə)rəns
afar,"遠くに,はるかに",əfɑ’:r
consist,"《『consist of』+『名』》〈団体・物・事が〉(…から)『成る』,(…で)成り立っいる受動態にできない; / 《『consist in』+『名』(do『ing』)》〈事の本質が〉(…に)ある,含まれている(受動態にできない) / 《『consist with』+『名』》〈事柄が〉(…と)一致する,両立する",kənsíst
acceptance,"〈U〉受け取ること,認めること,受け入れられていること;同意 / 〈U〉(手形の)引受け;〈C〉引受済み手形",æksépt(ə)ns
flashing,雨押え(建物に雨水が入るのを防ぐため屋根の継ぎ目をおおう金属板),flæ’ʃiŋ
lazy,"(人動物が)『怠惰な』,無精な,物ぐさな / (物事が)(人の)怠惰を誘う,けだるい,ものうげな / 動きがのろい / 《名詞的に;the lazy》怠け者[たち]",léizi
shrewd,"(実際的な事柄に)『鋭い』,抜け目のない;洞察力のある",ʃrú:d
extravagant,"(人が)『むだ遣いをする』,ぜいたくな / 常軌を逸した,とっぴな;法外な,過度の",ikstræ’vigənt
momentary,"『瞬時の』,はかない,つかの間の / 《ややまれ》刻々の",móuməntèri
cordial,"『心からの』,本心からの / 元気づける,強心性の / 〈C〉〈U〉強心剤 / 〈U〉リキュール酒",kɔ’:rʤəl
engineer,"『技師』,技術家 / 《米》(特に鉄道の)『機関士』 / 巧みに事を処理する人,手腕家 / (陸軍の)工兵;(海軍の)機関士官 / (技師として)…‘を’設計する,建設する / …‘を’巧みに処理する,工作する",ènʤiníər
rapidity,"急速,敏速;速度",rəpídəti
halt,"《a~》『停止』,休止 / 《おもに英》停車場;バス停 / 『停止』(休止)『する』 / …‘を’停止(休止)させる ためらう 脚の不自由な人",hɔ’:lt
alternative,"(二つのうち)『どちらかを選ぶべき』,二者択一の / 代わりの / 反体制的な,現在の社会と違った価値体系を持った / 二つのものの一つを選ぶこと,二者択一 / (二者のうち)選ぶべき一方 / 代わりのもの;他にとりうる方法",ɔ:ltə’:rnətiv
stamp,"〈地面・床など〉‘を’『踏みつける』;〈足〉‘を’踏み鳴らす;…‘を’踏みにじる,踏みつぶす / …‘に’『印』(『判』)『を押す』;(印などを)…‘に’押す《+『名』+『with』+『名』〈印〉》;(…に)〈印など〉‘を’押す《+『名』〈印〉+『on』+『名』》 / 《しばしば受動態で》(印象などを)〈心など〉に刻みつける《+『名』+『with』+『名』〈印象〉》;(心などに)〈印象など〉‘を’刻みつける《+『名』〈印象〉+『on』(『in』)+『名』》 / …‘に’切手(印紙)をはる / (…であると)〈事が〉〈人〉‘を’はっきり示す《+『名』〈人〉+『as』+『名』(『形』)〈補〉》 / …‘を’押しつぶす,粉砕する;…‘を’粉々にして(…に)する《+『名』+『into』(『to』)+『名』》 / 踏みつける,足を踏み鳴らす;足を踏み鳴らして歩く / 〈C〉『切手』(postage stamp),[収入]印紙,証紙 / 〈C〉『判』,印章;押し型,抜き型 / 〈C〉(判・押し型などで押した)印,スタンプ,消し印,検印 / 〈U〉特質,特徴,印 / 〈U〉種類,型 / 〈C〉足踏み,踏みつけること,じだんだ",stæ’mp
compact,"『ぎっしり詰まった』,目詰んだ,緊密な;(体格が)引き締まった / こぢんまりして経済的な,小さくまとまった / (文体などが)簡潔な / …’を’ぎっしり詰める;…’を’圧縮する / コンパクト(鏡,おしろい,パフの携帯用ケース) / 中型自動車(compact car) 契約,盟約 / (…と)契約する《+『with』+『名』》",kəmpæ’kt
breathless,"息切れした,息もつけない;息を殺した / 《まれ》そよ吹く風もない / 息の絶えた",bréθlis
drift,"〈U〉『漂流』,流されること / 〈U〉(海流・風などの)流れ,流れの方向(速度) / 〈C〉(雪・砂などの)吹きだまり,漂流物《+『of』+『名』》 / 〈U〉〈C〉大勢,風潮,傾向 / 〈U〉《時にa~》主意,主旨 / (水・風に)『流される』,漂う,漂流する / あてもなくさまよう / 〈雪・砂などが〉吹き積もる,吹きだまりになる / 〈砂・雪など〉‘を’吹き寄せる;〈場所〉‘を’吹きだまりにする",dríft
disappear,"『見えなくなる』,消える,姿を消す,消滅する",dìsəpíər
counter,"(商店・銀行などの)『売り台』,勘定台,カウンター / (食堂などに)『カウンター』 / (おもちゃの)模造貨幣 計算する人 / (特に電動式の)計算器,計数器 / (ゲームの得点計算用)数取り,点棒 『反対の』,逆の(opposite) / (一対の)片方の,副の / (…と)反対に,逆に《+『to』+『名』》 / …‘に’『逆らう』,立ち向かう / …’を’無効にする / (ボクシングなどで)〈打撃〉’を’返す,‘に’反撃する / (ボクシングなどで)打ち返す / 『逆』,反対,対立物 / (フェンシングの)受け流し / (ボクシングなどで)打ち返し,カウンター / (靴の)かかとの皮",káuntər
Venus,ビーナス(ローマ神話の愛と美の女神;ギリシア神話では Aphrodite) / 金星 / 〈C〉(ビーナスのような)絶世の美女,ví:nəs
imaginary,"『想像』[『上』]『の』,仮空の,実在しない",imæ’ʤənèri
ray,"『光線』;熱線;放射線 / 《a ~》(希望などの)一筋(ひとすじ),ごく少量《+『of』+『名』》 / 放射状に突き出たもの;(ヒトデなどの)腕 (魚の)エイ",réi
climbing,"登る,はい登る / 登ること,登山",kláimiŋ
attract,"(物理的な力で)…’を’『引きつける』,『引き寄せる』 / 〈人,人の注意・興味など〉’を’『引きつける』,誘う",ətræ’kt
astonishing,"『驚くべき』,びっくりするような",əstɑ’niʃiŋ
competition,〈U〉〈C〉(…との…の)『競争』《+『with』+『名』+『for』+『名』》 / 〈C〉試合,kɑ`mpətíʃən
ink,"(筆記用・印刷用)の『インク』 / (イカなどの出す)墨 / …‘を’インクで書く(塗る,しるす,汚す)",íŋk
oft,しばしば(often),ɔ’:ft
crystal,"〈U〉『水晶』 / 〈C〉『水晶製品』,水晶玉 / 〈U〉クリスタルグラス(透明度の高い鉛ガラス);《集合的に》クリスタルグラス製食器類(特にコップ類) / 〈C〉『結晶[体]』 / 〈C〉《米》(時計の)ガラスぶた / 『水晶[製]の』;クリスタルグラス製の;透き通った",krístl
shower,"《しばしば複数形で》『にわか雨』,にわか雪(あられ) ・(涙・弾丸・祝福・批判などの)『雨』,(…の)洪水《+『of』+『名』》・《米》共同して金を集めてお祝いのプレゼントを贈ること,祝い品贈呈会(特に結婚や出産を控えた婦人を祝って贈物をするパーティー) ・(また『shower bath』) ・『シャワー』・…に『水を注ぐ』・…を『降り注ぐ』・《itを主語にして》にわか雨が降る・(…に)降り注ぐ《+『on』(『upon』)+『名』》 / シャワーを浴びる",ʃáuər
obedient,"『従順な』,すなおな",oubí:diənt
await,"〈人が〉…’を’『待つ』 / 〈物・事が〉〈人〉’を’待ちうける,待ちかまえる",əwéit
armour,《英》=armor; よろい、装甲,ɑ’:rmər
massive,"『大きくて重い』,どっしりした;大規模な / (容ぼう,特に頭が)がっちりした / (精神などが)しっかりした,堂々とした / (投薬量が)定量以上の",mæ’siv
kin,"《古・話》《複数扱い》親族,親類 / 〈U〉(…との)親類関係《+『to』+『名』》 / (…にとって)親類で,血族で;(…の)同類で《+『to』+『名』》",kín
cellar,"『地下室』(basement)食料貯蔵室,穴蔵;(地下の)ぶどう酒貯蔵室 / 貯蔵ぶどう酒 / 《話》《the ~》(スポーツのチームなどの)最下位",sélər
falsehood,〈C〉偽りの陳述;うそ(lie) / 〈U〉虚偽 / 〈C〉誤った考え(信念),fɔ’:lshud
memorable,"忘れられない,記憶に値する / 注目すべき,きわだった",mém(ə)rəbl
stealing,"〈U〉盗むこと;(野球で)盗塁,スチール / 〈C〉《複数形で》盗品",stí:liŋ
noisy,"(人・声などが)『やかましい』,騒々しい,(場所が)騒音に満ちている",nɔ’izi
henceforth,"これから先,今後",hènsfɔ’:rs
Cicero,キケロ(Marcus Tullius Cicero;106‐43B.C.;ローマの政治家・雄弁家),sísəròu
laden,ladeの過去分詞 / 荷を積んだ;(…を)積み込んだ《+『with』+『名』》 / 《補語にのみ用いて》(…の重さで)押し下げられた《+『with』+『名』》,léidn
frost,"〈U〉〈C〉『霜』;霜が降りること / 〈U〉例の降りる寒さ;《英》氷点以下の温度 / 〈C〉《話》《軽べつして》《催しなどの》失敗,しくじり,(劇なじの)不入り,失敗作 / …‘を’霜で覆う / …‘を’霜枯れにさせる,(霜のように冷たい雨などで)凍らせる / (糖衣・砂糖などを)〈ケーキなど〉‘に’まぶす,かぶせる《+『名』+『with』+『名』》 / 〈ガラス〉‘を’つや消しにする / 〈物が〉霜で覆われる《+『over』》 / 《itを主語にして》霜を結ぶ,凍る",frɔ’:st
device,"『工夫』,『案』;《しばしば複数形で》策略 / (…の)『考案物』;装置,仕掛け《+『for』+『名』(do『ing』)》 / (紋章などの)図案,意匠 / (文学的効果を上げるための)工夫された表現",diváis
glare,"〈太陽などが〉『ぎらぎら光る』,まぶしく輝く / (…を)『にらみつける』《+『at(on, upon)』+『名』》 / 〈敵意など〉‘を’にらみつけて表す / 『ぎらぎらする光』,まぶしい光 / 『にらみつけ』 / 非常に目立つこと,けばけばしさ,どぎつさ",gléər
senate,"(古代ローマの)元老院 / 《the S-》(米国・カナダ・フランスなどの)『上院』 / (大学の)評議会,理事会",sénət
lasting,『永続する』;長持ちする,læ’stiŋ
communion,"〈U〉《文》親交;霊的交感 / 〈U〉共有 / 〈C〉宗教的な団体 / (また『Holy Communion』)〈U〉《しばしばCommunion》聖餐式,聖体拝領",kəmjú:njən
transport,"(ある場所からある場所へ)…‘を’『輸送する』,運搬する《+名+from+名+to+名》 / 《文》《受動態で》(…で)…‘を’夢中にする,有頂天にする《+名+with+名》 / 〈罪人〉‘を’流刑にする / 〈U〉輸送,運送,輸送(交通)機関(transportation) / 〈C〉(軍隊や軍需品を運ぶ)輸送船,輸送機",trænspɔ’:rt
Constantinople,コンスタンティノープル(イスタンブールの旧名),kɑ`nstænt(ə)nóupl
coffin,"『棺』,ひつぎ",kɔ’:fin
forgiveness,"(…を)許すこと,容赦《+『of』+『名』》 / 寛大さ",fərgívnis
awfully,"恐ろしく,すさまじく(terribly) / 《話》ひどく,とても",ɔ’:f(ə)li
clinging,(衣服を)体にぴったりついている / 人に頼り過ぎる,klíŋiŋ
contemplation,"(…を)じっと見つめること《+『of』+『名』》 / 熟考,(特に)瞑想(めいそう) / 期待,予期,意図",kɑ`ntəmpléiʃən
manufacture,"〈U〉(工場における大規模の)『製造』,製作;製造工業;(一般に)作ること,製造 / 〈C〉《しばしば複数形で》『製品』 / (工場で大規模に)(…から)…‘を’製造する,製作する《+『名』+『from』+『名』》 / …‘を’加工する,製品化する / 〈話・口実など〉‘を’でっち上げる",mæ`njufæ’kʧər
swallow,"『ツバメ』 〈食物など〉‘を’『飲み込む』 / 〈言葉など〉‘を’取り消す / 〈感情など〉‘を’表さない,抑える / …‘を’我慢する / 《話》…‘を’うのみにする / (特に,緊張して)つばを飲み込む / (…を)飲み込むこと《+of+名》 / (…の)一飲みする量《+of+名》",swɑ’lou
commonplace,"『普通の』,ありふれた,平凡な / ありふれた事(物) / 平凡な文句,ありふれた言い方",kɑ’mənplèis
she’d,"she had, she wouldの短縮形",ʃíd
contracted,"縮めた,収縮した / (語・音節などを)縮約した / (心・思想など)狭い,狭量な",kəntræ’ktid
inscription,"〈U〉記す(刻む)こと,銘刻 / 〈C〉『銘,碑文』;(貨幣などの)刻銘 / 〈C〉(寄贈図書などの)献呈の辞",inskrípʃən
comfortably,"『ここちよく』,気楽に,なに不自由なく",kʌ’mftəbli
indulge,"〈欲望など〉‘を’『満足させる』;〈人〉‘の’思いのままにさせる / 〈子供など〉‘を’甘やかす / (欲望などを)『満足させる』,(…を)思いのままにする《+『in』+『名』(do『ing』)》",indʌ’lʤ
indulgence,"〈U〉(欲望などに)ふけること,(…を)ほしいままにすること》+『in』+『名』(do『ing』)》 / 〈U〉〈C〉甘やかすこと,寛大 / 〈C〉道楽,好物 / (また『pardon』)〈U〉(カトリックで)免罪;〈C〉免罪符",indʌ’lʤəns
bravely,"『勇敢に』,りっぱに",bréivli
yea,"はい,さよう,しかり / 全く,実に,げに / 賛成,背定,賛成の返事,賛成投票[者]",jéi
keenly,"鋭く,激しく / 鋭敏に / 熱心に",kí:nli
exhibition,"〈U〉《an~》(感情などを)『表すこと』,示すこと,(能力などの)『発揮』《+『of』+『名』》 / 〈C〉(…の)『展覧会』,展示会《+『of』+『名』》 / 〈C〉《英》奨学金",èksəbíʃən
agricultural,"『農業の』,農耕の;農学[上]の",æ`grikʌ’lʧər(ə)l
enlightened,"啓発された,教化された",inláitnd
quest,"(…の)探求,探索(search)《+『of』(『for』)+『名』》 / (中世騎士の)冒険の旅;(…を捜し求めての)遠征《+『of』+『名』》 / (…を)探索する《+『for』+『名』》",kwést
crest,"(鳥の)とさか / (かぶとの)前立て,羽根飾り / 山頂,尾根;波がしら;(一般に)絶頂,最上 / 紋章,家紋",krést
extension,"〈U〉〈C〉(…を)『拡大』(延長)『すること』,(…が)拡大(延長)されること《+『of』+『名』》 / 〈C〉拡大(延長)された部分(物) / 〈C〉(電話の)内線",iksténʃən
uneasiness,"不安,心配;窮屈,堅苦しさ",ʌ`ní:zinis
constitute,"《しばしば受動体で》〈物〉’を’『構成する』,〈人の本質・体質〉’を’作っている(進行形にできない) / 《『constitute』+『名』〈目〉+『名』〈補〉》〈人〉’を'(役目・職務なとに)『任命する』,選定する:〈制度など〉’を’『制定する』,〈機関など〉’を’設立する",kɑ’nstət(j)ù:t
swing,"(一定の動きで)…‘を’『振る』,揺り動かす / (一点を軸にして)…‘を’『回転させる』,ぐるりと回す / 〈棒など〉‘を’『振り回す』 / …‘を’向きを変える / 〈物〉‘を’『つるす』,掛ける / 《米話》〈取引きなど〉‘を’うまく処理する,思いどおりに操る / (…から別の意見・立場などに)…‘を’変える《+from+名+to+名》 / 《副詞[句]を伴って》(一定の動きで)『揺れる』,揺れ動く;ぶらんこに乗る / (一点を軸にして)『回転する』,ぐるりと回る / (大きく弧を描くように)(…を)打つ《+at+名》 / (…の方に)向きを変える《+on(onto,to,into)+名》 / のびのびと調子よく歩く,活動的になる / 《話》(…のことで)絞首刑になる《+for+名》 / (別の意見・立場などに)変わる《+to(toward)+名(doing)》 / 《話》〈音楽が〉スイング風である(に演奏する) / 〈C〉〈U〉(一定の動きを伴う)揺れ,振動;(ある方向への)揺れ動き《+toward+名》 / 〈C〉振幅 / 〈C〉『ぶらんこ』;ぶらんこ遊び / 〈U〉《しばしば a~》リズミカルな動き(歩き方) / 〈C〉(…を)大きく振ること,打つこと《+of+名》 / 〈U〉活動の自由 / 〈U〉スイング(1930‐40年代のジャズのリズム) / 〈C〉各国・各大陸を飛び歩く",swíŋ
meadow,"『牧草地』,草原",médou
complex,"『いくつかの部分から成る』,複合の,合成の / 『複雑な』,入りくんだ,こみいった(complicated) / 複合体,合成物 / コンプレックス,複合(抑圧されて心に残った複雑なしこり)",kəmpléks
controversy,"(通例紙上での)『論争』;議論,口論",kɑ’ntrəvə`:rsi
resignation,"〈U〉〈C〉『辞職』,『辞任』,やめること / 〈C〉辞表,退職願い / あきらめ,忍従",rèzignéiʃən
tempest,"大あらし,大暴風雨 / 大騒ぎ,大騒動",témpist
guidance,"『指導』;『案内』;指揮 / (児童・生徒の)指導,ガイダンス / (宇宙船・ミサイルなどの)誘導[装置]",gáidns
humbly,卑しく;謙そんして,hʌ’mbli
serene,"(生活・風景などが)『穏やかな』,平穏な / うららかな,晴れた / 《S-》やんごとなき",sərí:n
roughly,"『手荒く』,乱暴に,ぞんざいに / 『おおよそ』,概略",rʌ’fli
remarkably,"著しく,目立って",rimɑ’:rkəbli
dainty,"『上品な』,優美な / 『美味の』,おいしい / 口のおごった;(食物に)やかましい《+『about』+『名』(do『ing』)》 / 〈C〉おいしいもの / 〈U〉美味",déinti
overhead,"『頭上高く』,空に / 『頭上にある』,空にある / 〈C〉《英では複数形で》一般諸経費",óuvəhed
commencement,"発始 / (米国の大学のケンブリッジ大学・ダブリン大学の)学位授与式,卒業式;《米》(一般に)卒業式",kəménsmənt
brightness,輝き;明るさ;(自の)あざやかさ,bráitnis
oppression,"〈U〉〈C〉(…を)『虐げること』,『圧迫すること』,(…に対する)圧迫,圧制《+『of』+『名』》 / 〈C〉(…の)苦難,困苦《+『of』+『名』(do『ing』)》 / 〈U〉重苦しい気分,圧迫感",əpréʃən
repeatedly,"繰り返して,再三再四",ripí:tidli
conspiracy,"陰謀,たくらみ;陰謀団",kənspírəsi
restrain,"〈感情・行動など〉‘を’『抑える』,『抑制する』 / (…しないように)〈人〉‘に’『がまんさせる』,‘を’こらえさせる《+『名』〈人〉+『from』+『名』(do『ing』)》 / (逮捕・監禁などによって)〈人〉‘の’自由を奪う,‘を’拘束する",ristréin
preservation,"(…の)保護,保存,保管;(食料などの)貯蔵》+『of』+『名』》",prèzərvéiʃən
pub,パブ(public house),pʌ’b
pepper,〈U〉『こしょう』 / 〈C〉コショウ科の植物 / 〈C〉こしょうの実 / …‘に’こしょうをかける / (繰り返し…を)…‘に’振りかける《+『名』+『with』+『名』》,pépər
basin,"『たらい』,はぢ(bowl);洗面器 / (…の)たらい1杯[分]《+『of』+『名』》 / (自然または人工の)水たまり,池 / (川の)流域;くぼ地,盆地 / 入江,内湾,船だまり",béisn
creeping,(つるのように)はう / のろのろ動く / ぞっとする,krí:piŋ
Matthew,聖マタイ(『St.~』;4人の福音書の記者の一人) / 新約聖書の「マタイによる福音書」;《略》『Matt.』,mæ’θju:
publicly,"公に,公然と;おおっぴらに / 公的に,公衆によって",pʌ’blikli
grove,"『小さい森』(『林』),木立ち",gróuv
calamity,"(地震・紅水・火災・病気などの)『災害』,災難 / 難儀,苦難",kəlæ’məti
pony,小型の品種の馬;(一般に)小さい馬 / 《米俗》(外国語や古典の対訳の)虎の巻,póuni
melody,"〈U〉『美しい音の流れ』,快い調べ / 〈C〉『旋律』;(声楽曲・器楽曲の)主旋律[部分]",mélədi
profitable,『利益の上がる』 / 有益な,prɑ’fitəbl
hire,"〈人〉‘を’『雇う』 / (金を払って)〈物〉‘を’『借りる』,賃借する / 〈物〉‘を’賃貸しする;〈自分〉‘が’金で雇われる《+『out』+『名』,+『名』+『out』》 / 借り賃,使用料;雇い賃,給料 / (物の)『賃貸し』,賃借り;(人の)雇用 / (人が)雇われて",háiər
speculation,"(…に関する)『推測』,考察《+『about』(『on, upon』)+『名』》 / (…への)投機《+『in』(『on』)+『名』》",spèkjuléiʃən
drunken,"酒に酔った / 酒の上での,酔ったあげくの",drʌ’ŋkən
candidate,"(…の)『候補者』,志願者《+『for』+『名』》",kæ’ndidèit
principally,"『主として』,おもに(chiefly)",prínsəp(ə)li
worried,(人・表情などが)心配そうな,wə’:rid
obstinate,"『がん呼な』,強情な / (病気などが)直りにくい",ɑ’bstənət
hasten,"…‘を’『急がせる』 / 『急ぐ』,『急いでする』",héisn
elderly,"かなり年配の,初老の",éldərli
telegraph,"〈U〉『電信』,電報 / 〈C〉電信機 / 〈伝言など〉‘を’『電報(電信)で知らせる』(wire) / (…に)電報を打つ,打電する《+to+名》",téligræ`f
Russell,ラッセル(『Bertrand~』;1872‐1970;英国の哲学者・数学者),rʌ’sl
university,"{C}『[総合]大学』 / 〈U〉《the university》《集合的に》大学生,大学当局",jù:nəvə’:rsəti
